route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,LV,1_57600_0_0_2,Calea Dumbravii 1,0,1.0
1,LV,1_58500_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_59280_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_60120_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_60720_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_61320_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_62160_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_62820_0_0_3,Calea Dumbravii 1,0,1.0
1,LV,1_63600_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_64500_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_65400_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_66240_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_66960_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_67680_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_68400_0_0_3,Calea Dumbravii 1,0,1.0
1,LV,1_69300_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_70200_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_71100_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_72000_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_72720_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_73440_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_74160_0_0_3,Calea Dumbravii 1,0,1.0
1,LV,1_74880_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_75600_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_76500_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_77400_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_78300_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_79500_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_81540_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_82860_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_83760_0_0_4,Calea Dumbravii 1,0,1.0
1,S,1_20760_1_0_2,Calea Dumbravii 1,0,1.0
1,S,1_22680_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_24540_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_26280_1_0_2,Calea Dumbravii 1,0,1.0
1,S,1_27480_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_28140_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_29880_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_31200_1_0_2,Calea Dumbravii 1,0,1.0
1,S,1_32400_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_34020_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_35700_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_36720_1_0_2,Calea Dumbravii 1,0,1.0
1,S,1_37800_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_39300_1_0_4,Calea Dumbravii 1,0,1.0
